"","country","countrynumber","year","legelec","preselec","regime","regime_leg","eighties","nineties","old","avemag","districts","eneg","enep","enep_others","enep1","enpp","enpp_others","enpp1","enpres","medmag","newdem","proximity1","proximity2","seats","upperseats","uppertier","twoelections","twoelections1"
"160","Colombia",70,1947,1,0,0,0,0,0,1,NA,NA,2.90698,2.01,0,2.01,1.97,0,1.97,2.9,NA,0,0.33,0,131,0,0,0,0
"161","Colombia",70,1949,1,1,1,0,0,0,1,NA,NA,2.90698,2.01,0,2.01,2,0,2,NA,NA,0,1,1,132,0,0,0,0
"169","Colombia",70,1974,1,1,0,0,0,0,1,7.65,26,2.90698,2.37,0,2.37,2.29,0,2.29,2.35,NA,0,1,1,199,0,0,0,0
"170","Colombia",70,1978,1,1,0,0,0,0,1,7.65,26,2.90698,2.17,1.19,2.17,2.06,0,2.06,2.16,NA,0,1,1,199,0,0,0,0
"171","Colombia",70,1982,1,1,0,0,0,0,1,7.65,26,2.90698,2.08,0.94,2.08,1.98,0,1.98,2.5,NA,0,1,1,199,0,0,0,0
"172","Colombia",70,1986,1,1,0,0,1,0,1,7.65,26,2.90698,2.66,6.44,2.685,2.45,5.5,2.47,2.1,8,0,1,1,199,0,0,0,0
"173","Colombia",70,1990,1,1,0,0,0,0,1,7.65,26,2.90698,2.2,7.05,2.23,2.17,7,2.2,3.04,9,0,1,1,199,0,0,0,0
"174","Colombia",70,1991,1,0,0,0,0,0,1,4.88,33,2.90698,3.3,4.78,3.33,2.99,2.5,3,3.04,6,0,0.5,0,161,0,0,0,0
"175","Colombia",70,1994,1,1,0,0,0,1,1,4.88,33,2.90698,2.64,6.64,2.67,2.75,7.4,2.79,2.41,6,0,1,1,161,0,0,0,0
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Costa Rica",53,1953,1,1,0,0,0,0,1,6.43,7,1.31165,2.11,0,2.11,1.97,0,1.97,1.84,NA,1,1,1,45,0,0,0,0
"184","Costa Rica",53,1958,1,1,0,0,0,0,1,6.43,7,1.31165,3.57,1.4,3.57,3.22,0,3.22,2.44,NA,0,1,1,45,0,0,0,0
"185","Costa Rica",53,1962,1,1,0,0,0,0,1,8.14,7,1.31165,2.71,1,2.71,2.61,0,2.61,2.52,NA,0,1,1,57,0,0,0,0
"186","Costa Rica",53,1966,1,1,0,0,0,0,1,8.14,7,1.31165,2.33,0,2.33,2.14,0,2.14,1.9998,NA,0,1,1,57,0,0,0,0
"187","Costa Rica",53,1970,1,1,0,0,0,0,1,8.14,7,1.31165,2.56,0.5,2.56,2.15,0,2.15,2.13,NA,0,1,1,57,0,0,0,0
"188","Costa Rica",53,1974,1,1,0,0,0,0,1,8.14,7,1.31165,4.01,1.2,4.01,3.13,0,3.13,3.3,NA,0,1,1,57,0,0,0,0
"189","Costa Rica",53,1978,1,1,0,0,0,0,1,8.14,7,1.31165,2.88,3,2.88,2.38,0,2.38,2.23,NA,0,1,1,57,0,0,0,0
"190","Costa Rica",53,1982,1,1,0,0,0,0,1,8.14,7,1.31165,2.53,0.98,2.53,2.27,0,2.27,2.17,NA,0,1,1,57,0,0,0,0
"191","Costa Rica",53,1986,1,1,0,0,1,0,1,8.14,7,1.31165,2.48,1.8,2.485,2.21,0,2.21,2.07,10,0,1,1,57,0,0,0,0
"192","Costa Rica",53,1990,1,1,0,0,0,0,1,8.14,7,1.31165,2.55,3.12,2.56,2.21,0,2.21,2.05,10,0,1,1,57,0,0,0,0
"193","Costa Rica",53,1994,1,1,0,0,0,1,1,8.14,7,1.31165,2.77,3.71,2.78,2.29,0,2.29,2.11,10,0,1,1,57,0,0,0,0
"194","Costa Rica",53,1998,1,1,0,0,0,0,1,8.14,7,1.31165,3.35,4.23,3.37,2.56,0,2.56,2.38,10,0,1,1,57,0,0,0,0
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Cyprus",187,1970,1,0,0,0,0,0,1,5.83,6,1.56055,3.5,5.1,3.515,3.37,5.7,3.39,1.08,NA,0,0.73,0,35,0,0,0,0
"203","Cyprus",187,1976,1,0,0,0,0,0,1,5.83,6,1.56055,1.83,6.4,1.84,1.06,0,1.06,1.08,NA,0,0.07,0,35,0,0,0,0
"204","Cyprus",187,1981,1,0,0,0,1,0,1,5.83,6,1.56055,3.85,7.6,3.895,3.39,0,3.45,1.08,NA,0,0.73,0,35,0,0,0,0
"209","Denmark",105,1947,1,0,0,0,0,0,1,5.09,23,1.14619,3.8,0.2,3.8,3.56,0,3.56,0,6,0,0,0,148,31,20.9,0,0
"210","Denmark",105,1950,1,0,0,0,0,0,1,4.57,23,1.14619,4.01,0,4.01,3.98,0,3.98,0,5,0,0,0,149,44,29.5,0,0
"211","Denmark",105,1953,1,0,0,0,0,0,1,4.57,23,1.14619,3.92,0,3.92,3.85,0,3.85,0,5,0,0,0,149,44,29.5,1,1
"212","Denmark",105,1953,1,0,0,0,0,0,1,5.87,23,1.14619,3.82,0,3.82,3.63,0,3.63,0,6,0,0,0,175,40,22.9,1,0
"213","Denmark",105,1957,1,0,0,0,0,0,1,5.87,23,1.14619,3.9,0,3.9,3.77,0,3.77,0,6,0,0,0,175,40,22.9,0,0
"214","Denmark",105,1960,1,0,0,0,0,0,1,5.87,23,1.14619,3.81,0,3.81,3.6,0,3.6,0,6,0,0,0,175,40,22.9,0,0
"215","Denmark",105,1964,1,0,0,0,0,0,1,5.87,23,1.14619,3.75,0.4,3.75,3.51,0,3.51,0,6,0,0,0,175,40,22.9,0,0
"216","Denmark",105,1966,1,0,0,0,0,0,1,5.87,23,1.14619,4.22,0,4.22,3.97,0,3.97,0,6,0,0,0,175,40,22.9,0,0
"217","Denmark",105,1968,1,0,0,0,0,0,1,5.87,23,1.14619,4.56,0,4.56,4.24,0,4.24,0,6,0,0,0,175,40,22.9,0,0
"218","Denmark",105,1971,1,0,0,0,0,0,1,7.94,17,1.14619,4.52,0,4.52,3.94,0,3.94,0,8,0,0,0,175,40,22.9,0,0
"219","Denmark",105,1973,1,0,0,0,0,0,1,7.94,17,1.14619,7.11,0,7.11,6.89,0,6.89,0,8,0,0,0,175,40,22.9,0,0
"220","Denmark",105,1975,1,0,0,0,0,0,1,7.94,17,1.14619,5.6,0,5.6,5.42,0,5.42,0,8,0,0,0,175,40,22.9,0,0
"221","Denmark",105,1977,1,0,0,0,0,0,1,7.94,17,1.14619,5.23,0.9,5.23,5.2,0,5.2,0,8,0,0,0,175,40,22.9,0,0
"222","Denmark",105,1979,1,0,0,0,0,0,1,7.94,17,1.14619,4.99,0.4,4.99,4.82,0,4.82,0,8,0,0,0,175,40,22.9,0,0
"223","Denmark",105,1981,1,0,0,0,0,0,1,7.94,17,1.14619,5.76,0.2,5.76,5.47,0,5.47,0,8,0,0,0,175,40,22.9,0,0
"224","Denmark",105,1984,1,0,0,0,1,0,1,7.94,17,1.14619,5.25,0.1,5.25,5.04,0,5.04,0,8,0,0,0,175,40,22.9,0,0
"225","Denmark",105,1987,1,0,0,0,0,0,1,7.94,17,1.14619,5.83,0.4,5.83,5.31,0,5.31,0,8,0,0,0,175,40,22.9,0,0
"226","Denmark",105,1988,1,0,0,0,0,0,1,7.94,17,1.14619,5.83,0.1,5.83,5.32,0,5.32,0,8,0,0,0,175,40,22.9,0,0
"227","Denmark",105,1990,1,0,0,0,0,0,1,7.94,17,1.14619,4.84,0.3,4.84,4.37,0,4.37,0,8,0,0,0,175,40,22.9,0,0
"228","Denmark",105,1994,1,0,0,0,0,1,1,7.94,17,1.14619,4.76,1,4.76,4.54,0.6,4.54,0,8,0,0,0,175,40,22.9,0,0
"229","Denmark",105,1998,1,0,0,0,0,0,1,7.94,17,1.14619,4.74,0.1,4.74,4.71,0,4.71,0,8,0,0,0,175,40,22.9,0,0
"230","Dominica",157,1980,1,0,0,0,0,0,1,1,21,1.63079,2.95,3.8,2.96,1.48,9.5,1.49,0,1,1,0,0,21,0,0,0,0
"231","Dominica",157,1985,1,0,0,0,1,0,1,1,21,1.63079,2.1,2.3,2.11,1.76,0,1.76,0,1,0,0,0,21,0,0,0,0
"232","Dominica",157,1990,1,0,0,0,0,0,1,1,21,1.63079,2.69,0,2.69,2.55,0,2.55,0,1,0,0,0,21,0,0,0,0
"233","Dominica",157,1995,1,0,0,0,0,0,1,1,21,1.63079,2.99,0.2,2.99,2.58,0,2.58,0,1,0,0,0,21,0,0,0,0
"234","Dominica",157,2000,1,0,0,0,0,0,1,1,21,1.63079,2.55,0,2.55,2.38,0,2.38,0,1,0,0,0,21,0,0,0,0
"238","Dominican Republic",54,1978,1,1,0,0,0,0,1,3.37,27,NA,2.23,6.2,2.24,1.99,0,1.99,2.7,4,0,1,1,91,0,0,0,0
"239","Dominican Republic",54,1982,1,1,0,0,0,0,1,4.44,27,NA,2.76,0,2.76,2.25,0,2.25,2.71,5,0,1,1,120,0,0,0,0
"241","Dominican Republic",54,1990,1,1,0,0,0,0,1,4,30,NA,3.22,2.35,3.23,3.05,0,3.05,3.38,5,0,1,1,120,0,0,0,0
"242","Dominican Republic",54,1994,1,1,0,0,0,1,1,4,30,NA,2.71,0.75,2.71,2.43,0,2.43,2.71,5,0,1,1,120,0,0,0,0
"243","Dominican Republic",54,1998,1,0,0,0,0,0,1,5,30,NA,2.73,2.22,2.74,2.32,0,2.32,2.6,6,0,0,0,150,0,0,0,0
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Ecuador",71,1958,1,0,0,0,0,0,1,NA,NA,2.89855,5.79,2.4,5.8,NA,NA,NA,3.88,NA,0,0,0,NA,0,0,0,0
"NA.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Ecuador",71,1962,1,0,0,0,0,0,1,NA,NA,2.89855,5.61,3.1,5.64,NA,NA,NA,2.93,NA,0,0,0,NA,0,0,0,0
"250","Ecuador",71,1979,1,1,0,0,0,0,1,2.85,20,2.89855,6.4,0,6.4,3.95,0,3.95,4.76,NA,1,1,1,69,12,17.39,0,0
"251","Ecuador",71,1984,1,1,0,0,0,0,1,2.95,20,2.89855,10.32,0,10.32,5.98,0,5.98,5.17,3,0,1,1,71,12,16.9,0,0
"252","Ecuador",71,1986,1,0,0,0,1,0,1,2.95,20,2.89855,11.95,0,11.95,7.56,0,7.56,5.17,3,0,0,0,71,12,16.9,0,0
"253","Ecuador",71,1988,1,1,0,0,0,0,1,2.95,20,2.89855,8.14,0,8.14,4.2,0,4.2,6.57,3,0,1,1,71,12,16.9,0,0
"254","Ecuador",71,1990,1,0,0,0,0,0,1,2.86,21,2.89855,7.9,0,7.9,6.97,0,6.97,6.57,3,0,0,0,72,12,16.67,0,0
"255","Ecuador",71,1992,1,1,0,0,0,0,1,3.1,21,2.89855,7.79,0,7.79,6.61,0,6.61,4.5,3,0,1,1,77,12,16.67,0,0
"256","Ecuador",71,1994,1,0,0,0,0,0,1,3.1,21,2.89855,7.48,0.57,7.48,5.9,0,5.9,4.5,NA,0,0,0,77,12,16.67,0,0
"257","Ecuador",71,1996,1,1,0,0,0,1,1,3.33,21,2.89855,6.43,1.3,6.43,5.11,0,5.11,4.82,3,0,1,1,82,12,14.63,0,0
"258","Ecuador",71,1998,1,1,0,0,0,0,1,5,21,2.89855,6.18,0.4,6.18,5.45,8.3,5.66,4.1,5,0,1,1,125,20,16,0,0
"259","El Salvador",55,1985,1,0,0,0,1,0,1,4.29,14,1.24657,2.68,0.5,2.68,2.56,0,2.56,3.16,4,1,0.6,0,60,0,0,0,0
"260","El Salvador",55,1988,1,0,0,0,0,0,1,4.29,14,1.24657,2.75,0.7,2.75,2.41,0,2.41,3.16,4,0,0.6,0,60,0,0,0,0
"261","El Salvador",55,1991,1,0,0,0,0,0,1,4.57,14,1.24657,3.34,0,3.34,3.01,0,3.01,2.35,4.5,0,0.2,0,84,20,23.8,0,0
"262","El Salvador",55,1994,1,1,0,0,0,1,1,4.57,14,1.24657,3.48,0.7,3.48,3.06,0,3.06,3,4.5,0,1,1,84,20,23.8,0,0
"263","El Salvador",55,1997,1,0,0,0,0,0,1,4.57,14,1.24657,3.95,0,3.95,4.17,0,4.17,3,4.5,0,0.2,0,84,20,23.8,0,0
"264","El Salvador",55,2000,1,0,0,0,0,0,1,4.57,14,1.24657,3.68,0.41,3.68,3.47,0,3.47,2.74,4.5,0,0.6,0,84,20,23.8,0,0
"268","Finland",106,1948,1,0,0,0,0,0,1,13.3,15,1.15141,4.9,0.5,4.9,4.54,0,4.54,5.06,NA,0,0,0,200,0,0,0,0
"269","Finland",106,1951,1,0,0,0,0,0,1,13.3,15,1.15141,4.96,0.3,4.96,4.78,0,4.78,5.13,NA,0,0.67,0,200,0,0,0,0
"270","Finland",106,1954,1,0,0,0,0,0,1,13.3,15,1.15141,4.98,0.1,4.98,4.71,0,4.71,5.13,NA,0,0.33,0,200,0,0,0,0
"271","Finland",106,1958,1,0,0,0,0,0,1,13.3,15,1.15141,5.19,0.5,5.19,4.87,0,4.87,4.98,NA,0,0.33,0,200,0,0,0,0
"272","Finland",106,1962,1,1,0,0,0,0,1,13.3,15,1.15141,5.86,0.7,5.86,5.09,0,5.09,5.27,NA,0,1,1,200,0,0,0,0
"273","Finland",106,1966,1,0,0,0,0,0,1,13.3,15,1.15141,5.22,0,5.22,4.96,0,4.96,5.27,NA,0,0.33,0,200,0,0,0,0
"274","Finland",106,1970,1,0,0,0,0,0,1,13.3,15,1.15141,6.17,0.2,6.17,5.58,0,5.58,6.25,15,0,0.6,0,200,0,0,0,0
"275","Finland",106,1972,1,0,0,0,0,0,1,13.3,15,1.15141,5.95,0,5.95,5.51,0,5.51,6.25,15,0,0.2,0,200,0,0,0,0
"276","Finland",106,1975,1,0,0,0,0,0,1,13.3,15,1.15141,5.89,0.8,5.89,5.31,0,5.31,6.25,15,0,0.4,0,200,0,0,0,0
"277","Finland",106,1979,1,0,0,0,0,0,1,13.3,15,1.15141,5.74,0.2,5.74,5.21,0,5.21,6.25,15,0,0.5,0,200,0,0,0,0
"278","Finland",106,1983,1,0,0,0,1,0,1,13.3,15,1.15141,5.45,0.1,5.45,5.34,0,5.34,3.76,17,0,0.67,0,200,0,0,0,0
"279","Finland",106,1987,1,0,0,0,0,0,1,13.3,15,1.15141,6.15,0.6,6.15,4.93,0,4.93,3.76,17,0,0.67,0,200,0,0,0,0
"280","Finland",106,1991,1,0,0,0,0,0,1,13.3,15,1.15141,5.89,2.8,5.91,5.23,0,5.23,3.19,17,0,0,0,200,0,0,0,0
"281","Finland",106,1995,1,0,0,0,0,1,1,13.3,15,1.15141,5.77,0.8,5.78,4.88,0,4.88,5.46,17,0,0.67,0,200,0,0,0,0
"282","Finland",106,1999,1,0,0,0,0,0,1,13.3,15,1.15141,5.93,0,5.93,5.15,0,5.15,5.46,17,0,0.67,0,200,0,0,0,0
"283","France",107,1946,1,0,0,0,0,0,1,5.33,102,1.37377,4.65,0.3,4.65,4.32,0,4.32,0,NA,1,0,0,544,0,0,0,0
"284","France",107,1951,1,0,0,0,0,0,1,5.28,103,1.37377,5.4,0.6,5.4,5.92,0,5.92,0,NA,0,0,0,544,0,0,0,0
"285","France",107,1956,1,0,0,0,0,0,1,5.28,103,1.37377,6.08,0.5,6.08,5.73,0,5.73,0,NA,0,0,0,544,0,0,0,0
"286","France",107,1958,1,0,0,0,0,0,1,1,465,1.37377,6.08,0.5,6.08,3.44,0,3.44,0,1,0,0,0,465,0,0,0,0
"287","France",107,1962,1,0,0,0,0,0,1,1,465,1.37377,4.93,0.1,4.93,3.43,0,3.43,0,1,0,0,0,465,0,0,0,0
"288","France",107,1967,1,0,0,0,0,0,1,1,470,1.37377,4.55,0,4.55,3.77,0,3.77,3.06,1,0,0,0,470,0,0,0,0
"289","France",107,1968,1,0,0,0,0,0,1,1,470,1.37377,4.32,0.5,4.32,2.49,0,2.49,3.06,1,0,0.5,0,470,0,0,0,0
"290","France",107,1973,1,0,0,0,0,0,1,1,473,1.37377,5.68,0,5.68,4.53,0,4.53,3.3,1,0,0.6,0,473,0,0,0,0
"291","France",107,1978,1,0,0,0,0,0,1,1,474,1.37377,5.08,0.1,5.08,4.19,0,4.19,3.15,1,0,0.14,0,474,0,0,0,0
"292","France",107,1981,1,1,0,0,1,0,1,1,474,1.37377,4.14,0,4.14,2.68,0,2.68,4.86,1,0,1,1,474,0,0,0,0
"293","France",107,1986,1,0,0,0,0,0,1,5.79,96,1.37377,4.66,0,4.66,3.9,0,3.9,4.86,7,0,0.43,0,556,0,0,0,0
"294","France",107,1988,1,1,0,0,0,0,1,1,555,1.37377,4.38,0.1,4.38,3.07,0,3.07,4.77,1,0,1,1,555,0,0,0,0
"295","France",107,1993,1,0,0,0,0,1,1,1,577,1.37377,6.71,1.2,6.71,2.86,0,2.86,4.77,1,0,0.43,0,577,0,0,0,0
"296","France",107,1997,1,0,0,0,0,0,1,1,577,1.37377,6.54,1.9,6.55,3.54,0,3.54,5.95,1,0,0.43,0,577,0,0,0,0
"297","Germany",191,1990,1,0,0,0,0,0,1,1,328,1.10488,3.75,0.2,3.75,3.17,0,3.17,0,1,0,0,0,662,334,50,0,0
"298","Germany",191,1994,1,0,0,0,0,1,1,1,328,1.10488,3.74,0,3.74,3.45,0,3.45,0,1,0,0,0,672,344,50,0,0
"299","Germany",191,1998,1,0,0,0,0,0,1,1,328,1.10488,3.79,0,3.79,3.31,0,3.31,0,1,0,0,0,669,341,50,0,0
"300","Ghana",18,1979,1,1,0,0,0,0,1,1,140,6.49562,3.75,0.9,3.75,2.64,0,2.64,3.92,1,1,1,1,140,0,0,0,0
"301","Greece",110,1946,1,0,0,0,0,0,1,9.32,38,1.06232,2.73,2.3,2.73,2.63,4.8,2.65,0,NA,1,0,0,354,NA,NA,0,0
"302","Greece",110,1950,1,0,0,0,0,0,1,6.41,39,1.06232,7.93,3.4,7.99,5.72,0,5.72,0,NA,0,0,0,250,NA,NA,0,0
"303","Greece",110,1951,1,0,0,0,0,0,1,6.29,41,1.06232,4.15,0.4,4.15,3.23,0,3.23,0,NA,0,0,0,258,NA,NA,0,0
"304","Greece",110,1952,1,0,0,0,0,0,1,3.03,99,1.06232,2.7,5.3,2.715,1.45,0.7,1.45,0,NA,0,0,0,300,0,0,0,0
"305","Greece",110,1956,1,0,0,0,0,0,1,7.32,41,1.06232,2.18,1.4,2.185,2.1,3.3,2.1,0,NA,0,0,0,300,0,0,0,0
"306","Greece",110,1958,1,0,0,0,0,0,1,5.45,55,1.06232,3.52,0.2,3.52,2.44,0,2.44,0,NA,0,0,0,300,NA,NA,0,0
"307","Greece",110,1961,1,0,0,0,0,0,1,5.45,55,1.06232,2.54,0.9,2.54,2.3,0,2.3,0,NA,0,0,0,300,NA,NA,0,0
"308","Greece",110,1963,1,0,0,0,0,0,1,5.45,55,1.06232,2.83,0.5,2.83,2.42,0,2.42,0,NA,0,0,0,300,NA,NA,0,0
"309","Greece",110,1964,1,0,0,0,0,0,1,5.45,55,1.06232,2.4,0.2,2.4,2.26,0,2.26,0,NA,0,0,0,300,NA,NA,0,0
"310","Greece",110,1974,1,0,0,0,0,0,1,5.14,56,1.06232,2.75,1.1,2.75,1.73,0,1.73,0,6,1,0,0,300,124,41.3,0,0
"311","Greece",110,1977,1,0,0,0,0,0,1,5.14,56,1.06232,3.74,0.9,3.74,2.35,0,2.35,0,6,0,0,0,300,68,22.7,0,0
"312","Greece",110,1981,1,0,0,0,0,0,1,5.14,56,1.06232,2.68,0.5,2.68,2.1,0,2.1,0,6,0,0,0,300,68,22.7,0,0
"313","Greece",110,1985,1,0,0,0,1,0,1,5.14,56,1.06232,2.59,0.5,2.59,2.14,0,2.14,0,6,0,0,0,300,68,22.7,0,0
"314","Greece",110,1989,1,0,0,0,0,0,1,5.14,56,1.06232,2.73,0.8,2.73,2.4,0,2.4,0,6,0,0,0,300,68,22.7,1,1
"315","Greece",110,1989,1,0,0,0,0,0,1,5.14,56,1.06232,2.55,1.5,2.56,2.32,0,2.32,0,6,0,0,0,300,68,22.7,1,0
"316","Greece",110,1990,1,0,0,0,0,0,1,5.14,56,1.06232,2.63,0,2.63,2.37,0,2.37,0,6,0,0,0,300,68,22.7,0,0
"317","Greece",110,1993,1,0,0,0,0,0,1,5.14,56,1.06232,2.63,0.9,2.63,2.17,0,2.17,0,6,0,0,0,300,68,22.7,0,0
